age,page,workst,pworkst,sex,psex,samesex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b,agediff_class,confm,pconfm,loneliness,ploneliness,lifsat,plifsat,extr,agree,consc,open,neur,depr,pdepr,self,pself,health,phealth,consv,god,pgod,pextr,pagree,pconsc,popen,pneur,east,peast,degurba,pdegurba,married,pconsv,ykage_class_w2b,pisced11,isced11
49,58,"Full time activity","Full time activity","Female","Male","Different sex",14.75,"11-20","Cohabiting","0","9","8",22,20,"21-50x","11-20x","6-10x","11-20x","1-5x","1-5x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","6-10y. older partner",26,22,"1 - Not at all","1 - Not at all","7","9",8,13,10,13,4,4,3,15,15,4,5,10,10,10,13,12,15,8,4,"West Germany","West Germany","City","City","Married",12,,8,8
30,30,"Part-time activity","Full time activity","Male","Female","Different sex",11.75,"11-20","Cohabiting","0","9","9",25,24,"21-50x","21-50x","11-20x","21-50x","1-5x","21-50x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times","Same age",23,25,"1 - Not at all","1 - Not at all","8","8",8,11,11,11,6,6,6,13,12,4,3,10,1,6,9,8,11,8,12,"West Germany","West Germany","City","City","Married",8,,6,6
41,38,"Part-time activity","Part-time activity","Male","Female","Different sex",4.916667,"3-5","Cohabiting","3+","7","9",20,24,"6-10x","1-5x","1-5x","11-20x","21-50x","11-20x","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","2-5y. younger partner",21,22,"3","1 - Not at all","7","9",8,12,11,9,7,7,6,12,10,4,3,19,8,6,9,12,15,10,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",13,"2-5",3,6
41,44,"Full time activity","Part-time activity","Female","Male","Different sex",24.25,"21+","Cohabiting","2","10 - Completely satisfied","8",24,25,"11-20x","11-20x","11-20x","11-20x","11-20x","11-20x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. older partner",24,23,"1 - Not at all",,"9","8",10,14,14,9,5,4,4,15,,5,3,11,9,3,11,11,12,10,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",11,"2-5",6,8
50,49,"Part-time activity","Full time activity","Female","Diverse","Different sex",24.83333,"21+","Cohabiting","3+","8","10 - Completely satisfied",19,18,"1-5x","1-5x","0x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","Not at all","11 to 20 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","Same age",18,11,"1 - Not at all","1 - Not at all","5","10 - Completely satisfied",11,11,12,9,5,3,4,15,15,5,5,17,7,7,15,7,13,13,5,"West Germany","West Germany","Town or suburb","City","Married",14,"14-17",8,6
39,32,"Home","Home","Male","Female","Different sex",14.33333,"11-20","Cohabiting","2","10 - Completely satisfied","8",23,25,"1-5x","6-10x","1-5x","11-20x","21-50x","11-20x","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","6-10y. younger partner",24,22,"1 - Not at all","1 - Not at all","10 - Completely satisfied","9",8,14,11,14,7,5,5,14,12,5,5,10,10,8,10,8,12,12,7,"East Germany","East Germany","Town or suburb","Town or suburb","Married",11,"0-1",8,8
31,28,"Full time activity","Part-time activity","Male","Female","Different sex",2.583333,"0-2","Cohabiting","0","7","7",24,26,"21-50x","11-20x","6-10x","6-10x","6-10x","11-20x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","2-5y. younger partner",30,28,"2","4","9","8",12,12,12,13,5,4,5,15,12,5,4,8,0,0,8,12,10,13,6,"East Germany","East Germany","City","City","Not married",14,,6,6
50,49,"Full time activity","Full time activity","Male","Female","Different sex",26.58333,"21+","Cohabiting","2","5","3",18,14,"1-5x","1-5x","1-5x","1-5x","0x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","11 to 20 times","1 to 5 times","Not at all","1 to 5 times","Not at all","Not at all","1 to 5 times","Same age",24,16,"4","5 - Absolutely","5","6",8,9,11,7,6,6,9,12,7,3,3,21,5,2,6,9,11,7,12,"West Germany","West Germany","Town or suburb","Town or suburb","Married",10,"18+",3,4
30,31,"Part-time activity","Full time activity","Female","Male","Different sex",9.166667,"6-10","Cohabiting","1","9","8",19,20,"0x","1-5x","0x","11-20x","> 50x","11-20x","Not at all","1 to 5 times","Not at all","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","Same age",20,23,"2","2","8","8",7,14,9,10,11,7,5,10,13,,3,10,1,8,13,11,10,12,7,"West Germany","West Germany","Town or suburb","Town or suburb","Married",12,"0-1",6,6
50,51,"Part-time activity","Full time activity","Female","Male","Different sex",32.25,"21+","Separate households","3+","10 - Completely satisfied","10 - Completely satisfied",24,20,"6-10x","6-10x","6-10x","6-10x","11-20x","11-20x","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","Same age",25,24,"1 - Not at all","1 - Not at all","9","8",9,13,10,12,4,3,3,13,13,5,5,11,9,10,11,10,11,13,3,"West Germany","West Germany","Town or suburb","Town or suburb","Married",17,"18+",8,6
28,28,"Full time activity","Full time activity","Female","Male","Different sex",6.75,"6-10","Cohabiting","0","10 - Completely satisfied","9",27,24,"21-50x","1-5x","21-50x","> 50x","1-5x","21-50x","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times","More than 50 times","1 to 5 times","21 to 50 times","6 to 10 times","1 to 5 times","6 to 10 times","Same age",24,25,"2","1 - Not at all","9","8",10,10,9,13,7,5,4,15,14,4,5,15,0,0,10,11,5,12,4,"West Germany","West Germany","City","City","Not married",21,,0,6
40,39,"Full time activity","Home","Male","Female","Different sex",17.83333,"11-20","Cohabiting","2","8","8",22,,"21-50x","6-10x","1-5x","> 50x","0x","1-5x","21 to 50 times","6 to 10 times","1 to 5 times","21 to 50 times","6 to 10 times","1 to 5 times","More than 50 times","Not at all","1 to 5 times","No answer","Not at all","No answer","Same age",25,,"1 - Not at all","1 - Not at all","7","8",8,11,8,10,6,5,5,10,15,3,5,19,1,5,13,13,11,10,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",12,"2-5",6,6
51,57,"Full time activity","Home","Male","Female","Different sex",30.75,"21+","Cohabiting","1","5","5",19,19,"11-20x","1-5x","0x","1-5x","6-10x","1-5x","11 to 20 times","1 to 5 times","Not at all","21 to 50 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","6-10y. older partner",23,21,"2","2","6","4",7,10,11,8,6,4,5,10,12,4,1,16,0,2,6,9,12,9,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",14,"18+",3,3
31,40,"Part-time activity","Full time activity","Female","Male","Different sex",8.5,"6-10","Cohabiting","1","7","7",22,17,"6-10x","1-5x","1-5x","1-5x","1-5x","0x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","Not at all","11 to 20 times","11 to 20 times","1 to 5 times","6-10y. older partner",22,20,"4","1 - Not at all","7","8",8,6,12,6,11,6,4,8,11,3,3,18,0,1,7,12,13,4,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",12,"0-1",6,4
49,48,"Full time activity","Part-time activity","Male","Female","Different sex",25.33333,"21+","Cohabiting","3+","9","7",24,22,"11-20x","11-20x","6-10x","> 50x","> 50x","21-50x","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","Same age",24,22,"1 - Not at all","2","8","7",8,14,10,10,5,5,7,13,12,4,4,17,5,10,9,10,12,13,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",14,"14-17",4,6
41,50,"Part-time activity","Full time activity","Female","Male","Different sex",4.083333,"3-5","Cohabiting","2","7","8",20,27,"21-50x","21-50x","21-50x","> 50x","> 50x","> 50x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","6-10y. older partner",25,24,"1 - Not at all","3","7","7",13,12,12,13,7,5,6,13,12,4,5,7,0,4,10,10,11,9,9,"West Germany","West Germany","Rural area","Rural area","Not married",16,"6-13",4,6
49,48,"Full time activity","Part-time activity","Male","Female","Different sex",31.58333,"21+","Cohabiting","0","9","9",21,22,"> 50x","> 50x","> 50x","21-50x","21-50x","11-20x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","Same age",22,25,"1 - Not at all","2","8","8",9,10,11,9,7,5,3,10,12,3,3,18,4,5,10,14,11,8,7,"West Germany","West Germany","Town or suburb","Town or suburb","Married",16,,3,6
50,58,"Full time activity","Full time activity","Female","Male","Different sex",2.25,"0-2","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",28,23,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","No answer","No answer","No answer","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","6-10y. older partner",28,29,"2","1 - Not at all","9","9",10,15,14,11,8,6,5,12,15,4,3,10,1,5,11,8,11,14,7,"East Germany","East Germany","City","City","Married",20,,6,3
31,29,"Full time activity","Full time activity","Female","Male","Different sex",2.333333,"0-2","Cohabiting","0","10 - Completely satisfied","9",28,22,"> 50x","> 50x","> 50x","21-50x","21-50x","11-20x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","2-5y. younger partner",27,25,"5 - Absolutely","1 - Not at all","8","9",8,14,12,8,6,3,3,15,12,4,4,13,0,0,12,12,10,10,8,"East Germany","East Germany","City","City","Not married",22,,3,4
41,34,"Full time activity","Full time activity","Male","Female","Different sex",4.416667,"3-5","Cohabiting","0","8","9",25,,"21-50x","11-20x","6-10x","> 50x","> 50x","> 50x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","6-10y. younger partner",24,,"1 - Not at all","2","7","9",10,11,10,6,7,5,5,13,12,4,4,26,5,3,12,13,11,10,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",15,,6,6
31,31,"Full time activity","Full time activity","Male","Female","Different sex",.8333333,"0-2","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",25,24,"> 50x","21-50x","11-20x","6-10x","1-5x","11-20x","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","Same age",24,29,"1 - Not at all","2","9","3",11,10,14,10,5,3,12,13,6,4,2,19,1,10,6,11,10,11,14,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",10,,,3
39,39,"Part-time activity","Full time activity","Female","Male","Different sex",18.25,"11-20","Cohabiting","3+","9","9",24,23,"21-50x","> 50x","21-50x","21-50x","> 50x","21-50x","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","Same age",23,20,"2","1 - Not at all","8","9",9,9,11,12,9,5,3,13,15,4,4,24,2,0,8,12,13,10,5,"West Germany","West Germany","Rural area","Rural area","Married",25,"2-5",6,6
29,29,"Full time activity","Full time activity","Female","Male","Different sex",6.166667,"6-10","Cohabiting","0","9","9",23,21,"21-50x","6-10x","11-20x","21-50x","21-50x","11-20x","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","Same age",29,21,"1 - Not at all","2","8","8",9,11,7,13,6,3,5,11,8,5,4,7,5,2,7,11,10,14,9,"West Germany","West Germany","City","City","Not married",17,,6,6
40,41,"Full time activity","Home","Male","Female","Different sex",20.66667,"11-20","Cohabiting","1","8","5",21,20,"6-10x","0x","6-10x","1-5x","0x","1-5x","6 to 10 times","Not at all","6 to 10 times","21 to 50 times","6 to 10 times","11 to 20 times","1 to 5 times","Not at all","1 to 5 times","11 to 20 times","Not at all","11 to 20 times","Same age",23,24,"1 - Not at all","3","8","7",10,10,11,12,5,3,7,13,8,4,4,12,0,0,11,9,15,10,11,"East Germany","East Germany","Town or suburb","Town or suburb","Married",7,"0-1",8,3
30,31,"Full time activity","Full time activity","Female","Male","Different sex",9.666667,"6-10","Cohabiting","0","7","8",22,26,"> 50x","> 50x","21-50x","21-50x","6-10x","21-50x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","More than 50 times","6 to 10 times","More than 50 times","Same age",20,21,"3","2","7","7",10,9,13,9,10,6,7,10,9,3,4,16,0,0,11,6,9,8,10,"West Germany","West Germany","Rural area","Town or suburb","Married",7,,6,6
40,42,"Home","Full time activity","Female","Male","Different sex",21.75,"21+","Cohabiting","3+","9","7",22,24,"11-20x","11-20x","11-20x","11-20x","1-5x","1-5x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","2-5y. older partner",24,22,"1 - Not at all","1 - Not at all","8","3",10,14,13,9,8,5,4,11,9,4,3,24,10,10,8,9,7,5,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",22,"6-13",3,6
49,48,"Full time activity","Part-time activity","Male","Female","Different sex",32.25,"21+","Cohabiting","1","7","6",,21,"21-50x","11-20x","6-10x","21-50x","6-10x","1-5x","21 to 50 times","11 to 20 times","6 to 10 times","No answer","No answer","No answer","21 to 50 times","6 to 10 times","1 to 5 times","More than 50 times","More than 50 times","More than 50 times","Same age",,24,"3","1 - Not at all","7","8",10,10,15,,5,3,5,11,11,3,4,21,0,0,9,12,8,9,11,"West Germany","West Germany","Town or suburb","Town or suburb","Married",9,"6-13",6,6
30,32,"Part-time activity","Full time activity","Female","Male","Different sex",4.916667,"3-5","Cohabiting","1","8","6",14,18,"6-10x","1-5x","1-5x","0x","1-5x","0x","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","6 to 10 times","11 to 20 times","Not at all","1 to 5 times","Not at all","Not at all","1 to 5 times","Not at all","2-5y. older partner",20,19,"2","4","8","7",10,14,10,10,9,6,7,11,8,4,3,10,1,0,9,7,8,9,10,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",11,"2-5",3,6
50,47,"Full time activity","Full time activity","Male","Female","Different sex",26.5,"21+","Cohabiting","2","9","8",20,22,"21-50x","1-5x","11-20x","6-10x","1-5x","6-10x","21 to 50 times","1 to 5 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","2-5y. younger partner",23,23,"1 - Not at all","1 - Not at all","9","7",11,10,10,11,6,4,4,13,11,4,3,17,2,2,12,11,12,12,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",7,"14-17",6,6
31,31,"Full time activity","Part-time activity","Male","Female","Different sex",10.33333,"6-10","Cohabiting","1","6","6",22,18,"1-5x","21-50x","21-50x","6-10x","6-10x","1-5x","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","6 to 10 times","6 to 10 times","1 to 5 times","More than 50 times","21 to 50 times","More than 50 times","Same age",21,22,"2","4","8","6",8,12,7,9,7,6,9,12,5,4,3,19,7,6,7,11,10,10,12,"West Germany","West Germany","City","City","Not married",15,"2-5",3,3
29,29,"Home","Part-time activity","Female","Male","Different sex",8.833333,"6-10","Cohabiting","2","9","9",22,21,"11-20x","6-10x","21-50x","11-20x","6-10x","11-20x","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","Same age",19,,"2","1 - Not at all","9","9",10,9,11,6,8,5,3,12,15,4,5,16,3,0,12,15,12,8,6,"West Germany","West Germany","City","City","Married",13,"0-1",4,6
39,38,"Full time activity","Home","Male","Female","Different sex",19.41667,"11-20","Cohabiting","2","7","9",16,22,"1-5x","1-5x","1-5x","1-5x","6-10x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","No answer","11 to 20 times","11 to 20 times","Same age",24,18,"3","1 - Not at all","7","9",10,12,10,10,6,3,5,13,14,4,4,23,2,2,12,12,12,9,5,"West Germany","West Germany","Town or suburb","Town or suburb","Married",11,"0-1",6,6
50,48,"Full time activity","Part-time activity","Male","Female","Different sex",25.33333,"21+","Cohabiting","0","9","9",24,25,"21-50x","11-20x","1-5x","> 50x","21-50x","11-20x","21 to 50 times","11 to 20 times","1 to 5 times","21 to 50 times","11 to 20 times","1 to 5 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","2-5y. younger partner",28,28,"1 - Not at all","1 - Not at all","9","8",9,12,11,12,10,5,4,15,14,5,4,22,3,10,9,15,11,13,4,"West Germany","West Germany","Town or suburb","Town or suburb","Married",21,,6,6
29,29,"Part-time activity","Full time activity","Female","Male","Different sex",8.5,"6-10","Cohabiting","1","8","8",26,28,"6-10x","1-5x","11-20x","6-10x","1-5x","6-10x","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","Same age",24,22,"2","4","8","7",7,11,11,7,10,5,4,11,8,4,4,8,0,0,7,10,10,5,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",11,"2-5",3,3
40,40,"Part-time activity","Full time activity","Male","Female","Different sex",21.16667,"21+","Cohabiting","0","9","9",28,26,"21-50x","11-20x","11-20x","21-50x","11-20x","11-20x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","Same age",24,25,"2","1 - Not at all","8","8",6,13,10,8,4,3,3,12,13,4,4,14,0,0,9,10,10,8,5,"West Germany","West Germany","Town or suburb","Town or suburb","Married",10,,6,3
49,43,"Full time activity","Full time activity","Male","Female","Different sex",25,"21+","Cohabiting","1","8","8",24,22,"6-10x","1-5x","1-5x","11-20x","1-5x","11-20x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","6-10y. younger partner",23,24,"1 - Not at all","1 - Not at all","4","8",10,12,12,8,7,3,3,10,13,3,4,11,3,3,15,14,15,9,5,"East Germany","East Germany","Town or suburb","Town or suburb","Married",9,"18+",3,3
29,44,"Full time activity","Full time activity","Female","Male","Different sex",9.833333,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",29,30,"6-10x","6-10x","6-10x","21-50x","11-20x","6-10x","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","More than 50 times","21 to 50 times","11 to 20 times","> 10y. older partner",25,30,"1 - Not at all","1 - Not at all","9","10 - Completely satisfied",9,15,12,10,5,4,3,13,13,5,4,10,3,5,13,13,15,12,3,"West Germany","West Germany","Rural area","Rural area","Married",9,,4,6
